Bevezető;Ennek a könyvnek te vagy hőse. Te vívsz meg a kocka segítségévelaz óriásokkal és a szörnyekkel, magad döntesz, hogy merre haladjtovább, kivel barátkozz és kivel csatázz. Nem pusztán az írófantáziája irányítja a történetet, hanem a te bátorságod,kíváncsiságod, leleményességed, kalandvágyad és józan eszed is.Játék és regény egyszerre, amit a kezedben tartasz. Kalandosvállalkozás, amelybe bele is lehet bukni, de ha jól döntesz, sikerreljársz.Így hát ezt a könyvet ne úgy olvasd, ahogy egyébként olvasniszoktál. Mint látod, itt még az oldalak sincsenek megszámozva abevezető után, hanem a hosszabb-rövidebb bekezdések viselnekszámokat egytől négyszázig. Ezek között előre-hátra lapozva haladszelőre a történetben a saját igényeid szerint. Ha kardot rántasz azellenségre, máshová lapozol, mintha elbújnál előle.Barbár harcosok, varázslók, szörnyetegek, törpék népesítik be ezt afantasztikus világot. Mi kell ahhoz, hogy ne bukj el közöttük? Csakaz, ami a mindennapi élethez is: ügyesség, jártasság, ötletesség, az,hogy felkészülten várd a nehézségeket.És Szerencse, amely nélkül az előző három talán mit sem ér, de hacsak erre számítasz, biztosan cserbenhagy.Hogy mit jelent az ÜGYESSÉG, ÉLETERŐ és SZERENCSE ebben akönyvben, megtudod a következőkből. Ha netán nem lenne teljesenvilágos a dolog, ne törődj vele, bátran előre! Vágj neki azolvasásnak, menet közben minden a helyére kerül! De haelfelejtenéd, hogyan kell jól megvívni egy csatát, hogyanmenekülhetsz, hogyan gyógyíthatod magad a játék szabályai szerint,nyugodtan visszalapozhatsz.
Harc a szörnyekkel;Mielőtt belevágnál ebbe a kalandba, fel kell mérned, mennyire vagyerős, illetve gyenge. Van kardod és pajzsod az útra, meg egyhátizsákod étellel-itallal. Felkészültél a feladatra, megtanultál akarddal bánni, és keményen edzettél, hogy erős légy.Dobókockával döntsd el kezdő ÜGYESSÉG és ÉLETERŐ pontjaidat,hogy megtudd, milyen hatékonyak voltak előkészületeid. A 16.oldalon találod a Kalandlapot, amelyre feljegyezheted kalandodrészleteit. Ugyanitt jelölheted ÜGYESSÉG és ÉLETERŐ pontjaidat is.Jól teszed, ha ceruzával írod a pontokat a Kalandlapra vagyfénymásolatot készíttetsz erről az oldalról, hogy újabb játékra isfelhasználhasd.
ÜGYESSÉG, ÉLETERŐ ÉS SZERENCSE;Dobj az egyik kockával. Adj 6-ot a dobott számhoz, és az összegetírd be a Kalandlap ÜGYESSÉG négyzetébe.Dobj mindkét kockával, az eredményhez adjál 12-t, a kapott számotírd be az ÉLETERŐ négyzetbe.Van egy SZERENCSE rovat is. Ehhez egy kockával dobj, és 6-ot adjaz eredményhez, majd az összeget írd be a SZERENCSE négyzetbe.Különböző okok miatt, melyeket majd részletesen elmagyarázunk,ÜGYESSÉG, ÉLETERŐ és SZERENCSE pontjaid a kalandok soránfolyamatosan változnak. Pontosan kell vezetned őket, ezért azttanácsoljuk, hogy kis betűkkel írj a négyzetekbe vagy tarts kéznélradírt. De soha ne töröld ki a kezdőpontjaidat, mert szerezhetszugyan további ÜGYESSÉG, ÉLETERŐ és SZERENCSE pontokat, deösszegük soha nem lépheti túl a kezdeti értéket, kivéve néhánynagyon ritka alkalmat, amikor a megfelelő oldalon ezt az utasítástkapod.ÜGYESSÉG pontjaid kardvívó tudásodat és általános harckészségedetmutatják. Nem árt minél több ilyen pontra szert tenni. Az ÉLETERŐpontok jelzik kondíciódat, az akaraterődet, hogy túlélj egy-egyhelyzetet, továbbá eltökéltségedet és állóképességedet, minélmagasabb az ÉLETERŐ pontszám, annál hosszabb ideig maradhatszéletben. A SZERENCSE pontok mutatják, mennyire vagy szerencsésember.A szerencse és a varázslat az úr abban a fantasztikus birodalomban,amelybe most behatolsz.
A CSATA;Sűrűn találsz majd olyan oldalakat, ahol azt az utasítást kapod, hogyküzdj meg valamilyen teremtménnyel. Lehet, hogy lesz választásilehetőséged, ha mégsem, vagy ha úgy döntesz, hogy vállalod aharcot, azt a következő módon kell megvívnod:Először is jegyezd fel a teremtmény ÜGYESSÉGÉT és ÉLETEREJÉT a Kalandlapod első üres, „Harc a Szörnyekkel” feliratot viselő rovatába.A teremtmények pontszámait minden alkalommal megadja a könyv,amikor összecsapsz valamelyikükkel.
1.;Dobj két dobókockával a teremtmény nevében. A kapott számotadd az Ő ÜGYESSÉG pontjaihoz. Az összeg az Ő TÁMADÓEREJE.
2.;Dobj két kockával a magad nevében, és add az eredményt sajátjelenlegi ÜGYESSÉG pontjaidhoz. Ez a te TÁMADÓERŐD.
3.;Ha a te TÁMADÓERŐD nagyobb, minta teremtményé, akivelküzdesz, megsebezted. Menj tovább a 4. lépésre. Ha a teremtményTÁMADÓEREJE nagyobb, ő sebzett meg téged, tehát haladj az 5.lépésre. Ha a két TÁMADÓERŐ egyforma, kivédtétek egymáscsapását, és a következő Fordulót az 1. lépéstől elölről kezdheted.
 4. ;Megsebezted a teremtményt, ezért vonj le 2 pontot azÉLETEREJÉBŐL. Felhasználhatod a SZERENCSÉDET is, hogy továbbisebeket ejts rajta (lásd később).
5.;A teremtmény sebzett meg téged, ezért vonj le 2 pontot sajátÉLETERŐDBŐL. De ilyenkor is lehet SZERENCSÉD (lásd később).
6.; Ellenőrizd a teremtmény ÉLETERŐ pontjait vagy a sajátpontjaidat, és a SZERENCSE pontokat is, ha a SZERENCSÉHEZfolyamodtál (lásd később).
7.;Kezdd el a következő Fordulót meglévő ÜGYESSÉG pontjaidalapján, és ismételd meg a lépéseket 1-től 6-ig. Addig játszhatsz,amíg vagy a te ÉLETERŐ pontjaid vagy a teremtmény pontjai el nemfogynak (halál).
MENEKÜLÉS;Bizonyos oldalakon eldöntheted, hogy megfutamodsz-e a csatából,ha a dolgok rosszul alakulnak. Ám ha megfutamodsz, menekülésközben a teremtmény automatikusan sebet ejt rajtad (ezért 2ÉLETERŐ pontot kell levonnod.) Ez a gyávaság ára. Ám a szokásosmódon ilyenkor is hasznát veheted a SZERENCSÉNEK (lásd később).De csak akkor menekülhetsz, ha az adott oldalon erre különmegkapod a lehetőséget.
CSATA EGYNÉL TÖBB TEREMTMÉNNYEL;Ha egyszerre egynél több lénnyel kerülnél összeütközésbe, mindigközöljük veled a harcra vonatkozó utasítást az adott pont alatt. Néhaegyszerre kell velük megküzdened, néha meg mindegyikkel különkülön.
SZERENCSE;Kalandjaid során, akár csatában, akár olyan helyzetekben, amikor aSZERENCSE dönthet sorsod felől (az erre vonatkozó utasítást azadott fejezetpontok alatt megkapod), a SZERENCSÉDRE isszámíthatsz, hogy az események kimenetele számodra kedvezőlegyen. De vigyázz! A SZERENCSÉRE számítani kockázatos, és habalszerencsés vagy, az eredmény végzetes lehet. SZERENCSÉDET akövetkező módon teheted próbára. Dobj mindkét kockával. Ha akapott szám ugyanannyi vagy kevesebb, mint jelenlegi SZERENCSEpontszámod, az eredmény kedvező. Ha magasabb számot dobsz,mint a jelenlegi SZERENCSE pontszámod, balszerencséd volt, ésvállald a következményeit.Úgy hívjuk ezt, hogy „Tedd próbára a SZERENCSÉDET!”. Mindenalkalommal, amikor próbára teszed a SZERENCSÉDET, 1 pontot lekell vonnod SZERENCSE pontszámodból. Így hamar rájössz, hogy aSZERENCSÉRE hagyatkozni kockázatos.
A SZERENCSE használata csatában;A könyv bizonyos oldalain felszólítunk, hogy Tedd próbáraSZERENCSÉDET!, és közöljük, hogy SZERENCSÉD volt-e vagy sem. Acsatákban viszont mindig te döntesz, hogy a SZERENCSÉDsegítségével megpróbálsz-e komolyabb sebet ejteni azon ateremtményen, amelyet éppen megsebeztél, vagy csökkentenipróbálod-e annak a sebnek a hatását, amelyet a teremtménytőlelszenvedtél.Ha te sebezted meg a teremtményt, a fent leírt módon Tedd próbáraa SZERENCSÉDET! Ha szerencsés vagy, komoly sebet ejtettél rajta,és 2 külön pontot levonhatsz a teremtmény ÉLETEREJÉBŐL.Azonban, ha balszerencse ért vagy a seb puszta karcolás, az 1pontot vissza kell adnod ellenfeled ÉLETERŐ pontjaihoz. (Tehát: aszabályos 2 pont levonás helyett most csak 1 pontot vonhatsz letőle.)Ha a teremtmény sebzett meg téged, azért Tedd próbára aSZERENCSÉDET!, hogy enyhítsd a sebet. Ha SZERENCSÉD van,sikerült elkerülnöd a teljes csapást. 1 pontot visszaadsz magadnak(2 pontos kár helyett csak 1 pontos kár keletkezett azÉLETERŐDBEN). Ha nem voltál szerencsés, komolyabb találat ért,plusz 1 ÉLETERŐ pontot vonj le magadtól.Ne feledd, hogy minden alkalommal le kell vonnod 1 pontot adottSZERENCSE pontszámodból, ahányszor Próbára teszed aSZERENCSÉDET!
AZ ÜGYESSÉG VISSZAÁLLÍTÁSA A KEZDETI ÉRTÉKRE;ÜGYESSÉG pontjaid nem sokat fognak változni kalandjaid során.Helyenként, egy-egy oldalon olyan utasítást találsz, hogy növeldvagy csökkentsd ÜGYESSÉG pontjaid számát. Egy csodafegyvernövelheti ÜGYESSÉGEDET, de ne feledd, hogy egyszerre csak egyfegyvert használhatsz. Nem tarthatsz igényt 2 ÜGYESSÉGjutalompontra, mert két varázskardod van. ÜGYESSÉG pontjaidszáma soha nem lépheti túl az eredeti értékét, hacsak külön utasítástnem kapsz rá. Ha iszol az ÜGYESSÉG Italából (lásd később),bármikor a kezdeti értékére áll vissza ÜGYESSÉGED.
ÉLETERŐ VISSZAÁLLÍTÁSA A KEZDETI ÉRTÉKRE;ÉLETERŐ pontjaid sokszor fognak változni kalandjaid során, amintmegküzdesz a szörnyekkel és lelkesítő feladatokat vállalsz. Ahogycélodhoz közeledsz, ÉLETERŐ pontjaid száma veszélyesencsökkenhet, és a csaták különösen kockázatossá válnak, ezért légyóvatos!Hátizsákodban tíz étkezésre elegendő élelmiszer van. Bármikormegállhatsz pihenni és enni, kivéve ott, ahol erre más utasítástkapsz. Minden étkezés 4 pontot ad ÉLETERŐ pontjaidhoz, és 1ponttal csökkenti Élelmiszer-tartalékodat. A Kalandlapon különÉlelmiszerkészlet rovat van, hogy feljegyezd, mennyit fogyasztottál.Ne feledd, hogy hosszú utat kell megtenned, ezért bölcsen használdfel Élelmiszerkészletedet!Azt se feledd, hogy ÉLETERŐ pontjaid száma sohasem lépheti túl akezdeti értéket, kivéve, ha egy adott oldalon ezt az utasítást kaptad.Ha megiszod az ERŐ italát (lásd később), bármikor eredeti szintjéreállíthatod ÉLETERŐDET.
SZERENCSE VISSZAÁLLÍTÁSA A KEZDETI ÉRTÉKRE;SZERENCSE pontjaidhoz továbbiakat szerezhetsz kalandjaid során,ha kivételesen SZERENCSÉS vagy. Ennek részleteit megtalálod akönyvben. Ne feledd, hogy az ÜGYESSÉGHEZ és az ÉLETERŐHÖZhasonlóan SZERENCSE pontjaid sem léphetik túl kezdeti értéküket,kivéve, ha egy-egy oldalon ezt az utasítást kapod. A SZERENCSEItalát felhörpintve (lásd később) bármikor kezdeti értékére állíthatodvissza SZERENCSÉDET, és 1 ponttal növelheted kezdetiSZERENCSÉDET.
FELSZERELÉS ÉS ITALOK;Minimális felszereléssel kezded kalandodat, de utad során találhatszvagy beszerezhetsz ezt-azt. Karddal vagy felfegyverezve, ésbőrpáncélt viselsz. Hátizsákodban étel, ital lapul, és azok a kincsek,amelyeket megszerzel. Lámpásod is van, amely megvilágítja azutadat.Emellett magaddal vihetsz egy palackkal a Varázsitalból, ez segítrajtad a kutatás során. A következő palackok bármelyikétválaszthatod:Az ÜGYESSÉG ITALA - kezdeti értékére állítja vissza ÜGYESSÉGpontjaidat.Az ERŐ ITALA - kezdeti értékére állítja vissza ÉLETERŐ pontjaidat.A SZERENCSE ITALA - kezdeti értékére állítja vissza SZERENCSEpontjaidat, és 1 ponttal növeli kezdeti SZERENCSÉDET.Kalandjaid során bármikor kortyolhatsz a magaddal vitt italból(kivéve, amikor harcban állsz). Ezeknek az italoknak egy adagjavisszaállítja ÜGYESSÉGED, ÉLETERŐD vagy SZERENCSÉD kezdetiértékét (és a SZERENCSE ITALA 1 ponttal növeli kezdetiSZERENCSÉDET).Minden palack két adag varázsitalt tartalmaz, tehát kétszer élhetszvele kalandjaid során. Jegyezd fel a Kalandlapon, ha elhasználtad.Azt se feledd, hogy a háromféle ital közül csak az egyiket vihetedmagaddal az útra, válassz hát bölcsen!
TANÁCSOK A JÁTÉKHOZ;Utad veszélyes lesz, és előfordulhat, hogy első próbálkozásrabelebuksz. Jegyzetelj, s készíts térképet utad során, ezfelbecsülhetetlen értékű lesz az elkövetkező kalandjaidban, és segít,hogy gyorsan keresztüljuss a felderítetlen részeken.Nem találsz mindenütt kincseket. Sokszor csupán csapdák vagyolyan lények várnak rád, melyekkel összeütközésbe kerülsz.Gyakran fogsz rossz irányba menni, de végül is majd megtalálod azt,amit keresel.Hamar rájössz, hogy a fejezeteket nem szabad egymást követősorrendben olvasnod. Csak azt a fejezetet olvasd el, amelyet azutasításban megadnak! Egyébként csak összezavarodsz, és játéksem lesz az igazi.Az egyetlen igazi út minimális kockázatot jelent, és minden játékos,függetlenül attól, milyen pontokkal is vág neki, elég könnyenvégigmehet rajta.Kísérjen szerencse kalandjaid során! Sok sikert!
